movie,year,rating,genre,runtime_min,imdb,metascore,votes,n_imdb
The Flash,,PG-13,"['Action', ' Adventure', ' Fantasy']",144,6.8,55,161411,68.0
Blue Beetle,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,6.7,61,26080,67.0
Meg 2: The Trench,,PG-13,"['Action', ' Adventure', ' Horror']",116,5.2,40,36756,52.0
Teenage Mutant Ninja Turtles: Mutant Mayhem,,PG,"['Animation', ' Action', ' Adventure']",99,7.4,74,27251,74.0
Guardians of the Galaxy Vol. 3,,PG-13,"['Action', ' Adventure', ' Comedy']",150,8.0,64,308069,80.0
Spider-Man: Across the Spider-Verse,,PG,"['Animation', ' Action', ' Adventure']",140,8.8,86,249962,88.0
Asteroid City,,PG-13,"['Comedy', ' Drama', ' Romance']",105,6.7,74,69349,67.0
Poor Things,,R,"['Romance', ' Sci-Fi']",141,8.1,94,330,81.0
Elemental,,PG,"['Animation', ' Adventure', ' Comedy']",101,7.0,58,48103,70.0
Interstellar,,PG-13,"['Adventure', ' Drama', ' Sci-Fi']",169,8.7,74,1981906,87.0
The Meg,,PG-13,"['Action', ' Horror', ' Sci-Fi']",113,5.6,46,195663,56.0
Tenet,,PG-13,"['Action', ' Sci-Fi', ' Thriller']",150,7.3,69,557925,73.0
Transformers: Rise of the Beasts,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,6.1,42,78007,61.0
Dune,,PG-13,"['Action', ' Adventure', ' Drama']",155,8.0,74,712788,80.0
Avatar: The Way of Water,,PG-13,"['Action', ' Adventure', ' Fantasy']",192,7.6,67,455671,76.0
Inception,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",148,8.8,74,2463261,88.0
M3GAN,,PG-13,"['Horror', ' Sci-Fi', ' Thriller']",102,6.4,72,121815,64.0
Jurassic Park,,PG-13,"['Action', ' Adventure', ' Sci-Fi']",127,8.2,68,1032314,82.0
Everything Everywhere All at Once,,R,"['Action', ' Adventure', ' Comedy']",139,7.8,81,476400,78.0
Ghostbusters: Afterlife,,PG-13,"['Adventure', ' Comedy', ' Fantasy']",124,7.1,45,199360,71.0
They Cloned Tyrone,,R,"['Comedy', ' Mystery', ' Sci-Fi']",122,6.7,74,28060,67.0
The Prestige,,PG-13,"['Drama', ' Mystery', ' Sci-Fi']",130,8.5,66,1393594,85.0
The Pod Generation,,PG-13,"['Comedy', ' Romance', ' Sci-Fi']",110,5.6,60,917,56.0
